objectId,createdAt,updatedAt,ACL,team_id,fall_year,player_ids
Sk3EkltcLr,Thu Mar 15 2018 15:37:45 GMT-0500 (Central Daylight Time),Thu Mar 15 2018 15:37:45 GMT-0500 (Central Daylight Time),null,Hheqtk2fnw,2017,
UBmusbsY0m,Fri Jul 08 2016 17:13:42 GMT-0500 (Central Daylight Time),Fri Jul 08 2016 17:13:42 GMT-0500 (Central Daylight Time),null,bE8h4EPjOa,2015,"[""tjS65TfQAY""]"
UHjoIZej5M,Mon Mar 27 2017 11:37:04 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:37:04 GMT-0500 (Central Daylight Time),null,zQMAAAh5aT,2016,
ULPRU2FgJZ,Fri Jan 01 2016 16:40:20 GMT-0600 (Central Standard Time),Wed Jan 06 2016 20:00:01 GMT-0600 (Central Standard Time),null,SobMXhbxsA,2015,"[""ua99vbHykC"",""s0BF3yzyEF"",""6usXXsh6xl"",""B5cKX4h4FO"",""jYcSi1ExDT"",""LVA2DSq6xR"",""wDUKIoHUdM"",""LuaAhHXuUZ"",""3BvwScNU48"",""iknCbKX3eQ"",""EAaFQF1zwJ"",""pmUbGLFWhH"",""vcOV5NQJc9"",""bHBvdERj00"",""6Yaq4XFaKd"",""3O644CStVI"",""F6vx6uYtmk"",""Ky3IjI9wmp"",""hASRSUlxCL"",""ZRFvKcHPJK"",""1dhP5MmN5N"",""nBwu0mCFk9"",""6XnFBTgmve"",""4bBI8BVWkY"",""nIhCUmsqPY""]"
UiGiabeF91,Thu Oct 06 2016 12:21:42 GMT-0500 (Central Daylight Time),Thu Oct 06 2016 12:21:42 GMT-0500 (Central Daylight Time),null,hIx8aDVbjV,2016,
V3q8K4TofG,Tue Jun 28 2016 18:09:11 GMT-0500 (Central Daylight Time),Tue Jun 28 2016 18:09:11 GMT-0500 (Central Daylight Time),null,i1Q9d8L51D,2015,"[""WtKUvAFj9o""]"
W55EIPjpvy,Sun Oct 09 2016 20:51:56 GMT-0500 (Central Daylight Time),Sun Oct 09 2016 20:51:56 GMT-0500 (Central Daylight Time),null,5YE5IIV3k4,2016,
X9KloBCu2l,Thu Nov 17 2016 10:55:00 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:55:00 GMT-0600 (Central Standard Time),null,4tA6jxuCvC,2016,
Y8m3UH6HnX,Wed May 20 2020 07:42:32 GMT-0500 (Central Daylight Time),Wed May 20 2020 07:43:02 GMT-0500 (Central Daylight Time),null,OpAp5q8omY,2018,"[""HWQ7Zvn9vx"",""PudHIgqgWl"",""jSs5f6ERKu"",""bsDLphQ3jO"",""GleSf2IZSt"",""rcvwHH8dXo"",""VlltjYDkLQ"",""RlEEeclKW7"",""WnSMsTT2UA"",""0d39rkR0yD"",""2EBJCCjYvr"",""5yxFaiyoQc"",""TErmzKGQ2C"",""sjkMDdTh6h"",""5ADSTR9wJu"",""49Sf4iRiHw"",""AWtHWKkRud"",""EXwQhHDt9S"",""917jFZ5oi8"",""OkYwctsAKC"",""EDa9Mkic30"",""4Gj69Aq3Zp"",""zYxvNRrqR5"",""uS3iy0sCGk"",""MmDyqpu553"",""YYEjpOU7jj"",""RVJQCufF1f"",""xuOdipqavd"",""QNWDr4DGgE"",""rr0q65EEwV""]"
YBdC3L7ThW,Sun Mar 04 2018 20:53:20 GMT-0600 (Central Standard Time),Sun Mar 04 2018 20:53:20 GMT-0600 (Central Standard Time),null,cD5a3uVJvc,2017,
YGl8sxllIN,Sun Apr 10 2016 10:03:57 GMT-0500 (Central Daylight Time),Sun Apr 10 2016 10:48:10 GMT-0500 (Central Daylight Time),null,sDwvaTBIyS,2015,"[""fVoCP39P2P"",""6Yyb6R6LN8"",""9DOHnfBhZT"",""3Zdu2u9GzA"",""7BK3mKitcb"",""tPfqlPk2Px"",""Y8x9DMYXDV"",""Wsouuq73ob"",""cFt3x7Josg"",""OMYEaHOf1j"",""7SG7S8Ilz8"",""lcid2PCUCd"",""xi1W8NtI99"",""50Ns9INOFS"",""NhYjUrOB4Z"",""JsvodrMs8i"",""WHGmxBWdBS"",""1ksPvEWk3G"",""83V3We5QSJ"",""4ijQB41mge"",""Q3yKQ2aosV""]"
aoSwbQRnfG,Wed Oct 25 2017 18:33:13 GMT-0500 (Central Daylight Time),Wed Oct 25 2017 18:33:18 GMT-0500 (Central Daylight Time),null,alS9lskY24,2017,
