objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
TKLZSPhMnX,2017,cUn-tW0QlAY,null,1,124,Thu Feb 01 2018 12:18:35 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Thu Feb 01 2018 12:18:35 GMT-0600 (Central Standard Time),XClj7GPef9
TKZxL5QoDL,2012,bOuZBrwar08,null,1,1389,Mon Feb 18 2019 21:27:46 GMT-0600 (Central Standard Time),vvVTwV67s3,DEFENSE,,,Mon Feb 18 2019 21:27:46 GMT-0600 (Central Standard Time),Y0cHofeNs5
TKaK9zhVtn,2016,HevU7L7Af8U,null,1,269,Tue Nov 22 2016 15:54:56 GMT-0600 (Central Standard Time),nwlMkrbCJ9,DEFENSE,,,Tue Nov 22 2016 15:54:56 GMT-0600 (Central Standard Time),4tA6jxuCvC
TKeMpKX76T,2016,HaSVT6l6O8k,null,,261,Fri Mar 03 2017 23:13:24 GMT-0600 (Central Standard Time),PnUcE7oTGf,SUB,cU8Yol3BRT,WXKZbB952g,Fri Mar 03 2017 23:13:24 GMT-0600 (Central Standard Time),ZONaVCJXMP
TKfKKGjxhu,2017,GmKXHN_zfgQ,null,2,525,Wed Jan 31 2018 21:40:51 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 21:40:51 GMT-0600 (Central Standard Time),ztGBBQuCSH
TKjBLZQpBl,2016,G5tFTFev02k,null,,1390,Thu Mar 08 2018 22:13:32 GMT-0600 (Central Standard Time),OMXrnEWOS7,PAUSE_CLOCK,,,Thu Mar 08 2018 22:13:32 GMT-0600 (Central Standard Time),pFe1cFCeHX
TKrbOqJqyX,2021,XQCzkp_fi60,null,,214,Tue Aug 10 2021 18:17:08 GMT-0500 (Central Daylight Time),qEosoYINFN,GOAL,,RLKgXB6VTU,Tue Aug 10 2021 18:17:08 GMT-0500 (Central Daylight Time),9pknZhSrVp
TLCSdF2JEA,2012,pOLSWqhTQJo,null,,822,Mon Feb 18 2019 22:15:46 GMT-0600 (Central Standard Time),vvVTwV67s3,SUB,BDbXApyN3i,DnFzxfIKTL,Mon Feb 18 2019 22:15:46 GMT-0600 (Central Standard Time),hiXRckO3HR
TLNz83aqS7,2016,nKR-z44gY5E,null,1,2169,Wed Nov 02 2016 08:49:39 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,OFFENSE,,,Wed Nov 02 2016 08:49:39 GMT-0500 (Central Daylight Time),ejsL26LzRP
TLe9fNxOD8,2016,qHdd-eKbwM0,null,,0,Mon Feb 13 2017 13:16:38 GMT-0600 (Central Standard Time),nwlMkrbCJ9,SUB,LOm1LOSK9B,chaserA,Mon Feb 13 2017 13:16:38 GMT-0600 (Central Standard Time),72aC65hDVy
TLxyzrxi5D,2016,G5tFTFev02k,null,,1413,Thu Mar 08 2018 22:13:47 GMT-0600 (Central Standard Time),OMXrnEWOS7,START_CLOCK,,,Thu Mar 08 2018 22:13:47 GMT-0600 (Central Standard Time),pFe1cFCeHX
TM7XINo2pa,2016,hZjmBqBum-o,null,,1640,Tue Jun 06 2017 23:16:51 GMT-0500 (Central Daylight Time),OMXrnEWOS7,AWAY_GOAL,,,Tue Jun 06 2017 23:16:51 GMT-0500 (Central Daylight Time),aguEb8e6HQ
TMHGYMJ2KY,2016,A85CM8PTj4w,null,,24,Wed Jun 07 2017 22:47:51 GMT-0500 (Central Daylight Time),OMXrnEWOS7,START_CLOCK,,,Wed Jun 07 2017 22:47:51 GMT-0500 (Central Daylight Time),pFe1cFCeHX
TMgz2jSX6k,2012,pOLSWqhTQJo,null,,616,Mon Feb 18 2019 22:07:52 GMT-0600 (Central Standard Time),vvVTwV67s3,ASSIST,,DnFzxfIKTL,Mon Feb 18 2019 22:07:52 GMT-0600 (Central Standard Time),hiXRckO3HR
TMlYXTgH90,2016,hZjmBqBum-o,null,,1427,Tue Jun 06 2017 23:11:14 GMT-0500 (Central Daylight Time),OMXrnEWOS7,SUB,Mdx3iwNhN6,trIGl5DVFO,Tue Jun 06 2017 23:11:14 GMT-0500 (Central Daylight Time),pFe1cFCeHX
TMlqB41NVh,2015,lC9zc3mb9Ik,null,1,1218,Tue Jun 28 2016 19:07:28 GMT-0500 (Central Daylight Time),X3X3bWXs8E,DEFENSIVE_DRIVE,,,Tue Jun 28 2016 19:07:28 GMT-0500 (Central Daylight Time),mhnUAAk8wm
TMwulHnM2E,2015,9hFiSvWcbC0,null,,606,Fri May 20 2016 21:28:41 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,ASSIST,,RY9uvxgIjJ,Fri May 20 2016 21:28:41 GMT-0500 (Central Daylight Time),72aC65hDVy
TMzDka8gA4,2016,nKR-z44gY5E,null,,1466,Wed Nov 02 2016 08:26:37 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,AWAY_GOAL,,,Wed Nov 02 2016 08:26:37 GMT-0500 (Central Daylight Time),72aC65hDVy
TN6mEi0OGn,2015,ydb08siyO1s,null,,1199,Tue Dec 15 2015 16:07:36 GMT-0600 (Central Standard Time),X3X3bWXs8E,SUB,7a2BqBJxYQ,LfOT6FpyQK,Tue Dec 15 2015 16:07:36 GMT-0600 (Central Standard Time),aguEb8e6HQ
TN85PfasEM,2015,eLZbNCT9C6Q,null,,723,Tue Dec 15 2015 16:25:43 GMT-0600 (Central Standard Time),X3X3bWXs8E,SUB,YeXdUkGJ79,Wvq3AaiVS3,Tue Dec 15 2015 16:25:43 GMT-0600 (Central Standard Time),aguEb8e6HQ
TNUFCAKCe5,2017,GmKXHN_zfgQ,null,,964,Wed Jan 31 2018 22:25:19 GMT-0600 (Central Standard Time),PnUcE7oTGf,TURNOVER,,lnNVPhfE9P,Wed Jan 31 2018 22:25:19 GMT-0600 (Central Standard Time),ZONaVCJXMP
TNcCnnsF8R,2016,eBc3SiV8cDI,null,,983,Mon Mar 27 2017 13:13:00 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,SUB,FfuLPPzI3Q,LOm1LOSK9B,Mon Mar 27 2017 13:13:00 GMT-0500 (Central Daylight Time),72aC65hDVy
TNu4Qw8vx1,2015,tDjPMmsMJG4,null,,722,Mon Jul 04 2016 14:44:14 GMT-0500 (Central Daylight Time),X3X3bWXs8E,SHOT,,,Mon Jul 04 2016 14:44:14 GMT-0500 (Central Daylight Time),1Tq5ZLgKzB
TO7p2XdUA0,2016,HPj9YzyWC-A,null,,569,Wed Jul 19 2017 21:52:53 GMT-0500 (Central Daylight Time),OMXrnEWOS7,GAIN_CONTROL,,,Wed Jul 19 2017 21:52:53 GMT-0500 (Central Daylight Time),pFe1cFCeHX
