objectId,createdAt,updatedAt,ACL,team_name
TNw4nvciYW,Fri Dec 04 2015 00:26:36 GMT-0600 (Central Standard Time),Fri Dec 04 2015 00:26:36 GMT-0600 (Central Standard Time),null,Wisconsin Quidditch
TrU7dwBcP0,Sun Feb 07 2016 14:09:19 GMT-0600 (Central Standard Time),Sun Feb 07 2016 14:09:19 GMT-0600 (Central Standard Time),null,QC Boston
VVf2rVa4A4,Sat Jan 09 2016 18:41:53 GMT-0600 (Central Standard Time),Sat Jan 09 2016 18:41:53 GMT-0600 (Central Standard Time),null,Wooster Scottish Nationals
W06rDSVYXw,Thu Oct 20 2016 16:57:20 GMT-0500 (Central Daylight Time),Thu Oct 20 2016 16:57:20 GMT-0500 (Central Daylight Time),null,Indiana University
XAty8SwwgQ,Tue Nov 08 2016 12:51:52 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:51:52 GMT-0600 (Central Standard Time),null,Purdue
XClj7GPef9,Thu Feb 01 2018 12:13:46 GMT-0600 (Central Standard Time),Thu Feb 01 2018 12:13:46 GMT-0600 (Central Standard Time),null,Nomads
Y0cHofeNs5,Mon Feb 18 2019 20:44:37 GMT-0600 (Central Standard Time),Mon Feb 18 2019 20:44:37 GMT-0600 (Central Standard Time),null,Texas Cavalry
YxFzyU7JOS,Fri Dec 04 2015 01:28:56 GMT-0600 (Central Standard Time),Fri Dec 04 2015 01:28:56 GMT-0600 (Central Standard Time),null,CWRUcio Quidditch (Case Western Reserve University
ZONaVCJXMP,Sun Nov 13 2016 00:11:02 GMT-0600 (Central Standard Time),Fri Feb 03 2017 20:09:06 GMT-0600 (Central Standard Time),null,Lake Erie Elite
aguEb8e6HQ,Tue Dec 15 2015 15:44:55 GMT-0600 (Central Standard Time),Tue Dec 15 2015 15:44:55 GMT-0600 (Central Standard Time),null,Cleveland Riff
alS9lskY24,Wed Oct 25 2017 18:32:58 GMT-0500 (Central Daylight Time),Wed Oct 25 2017 18:32:58 GMT-0500 (Central Daylight Time),null,Hoosier Daddies
atU0l1Ej8N,Sat Jan 09 2016 07:42:41 GMT-0600 (Central Standard Time),Sat Jan 09 2016 07:42:41 GMT-0600 (Central Standard Time),null,Radcliffe Chimeras
b0FK1qJldP,Fri Aug 05 2016 22:49:48 GMT-0500 (Central Daylight Time),Fri Aug 05 2016 22:49:48 GMT-0500 (Central Daylight Time),null,Team Australia
bE8h4EPjOa,Fri Jul 08 2016 17:13:42 GMT-0500 (Central Daylight Time),Fri Jul 08 2016 17:13:42 GMT-0500 (Central Daylight Time),null,Team Turkey
cD5a3uVJvc,Sun Mar 04 2018 20:53:20 GMT-0600 (Central Standard Time),Sun Mar 04 2018 20:53:20 GMT-0600 (Central Standard Time),null,Michigan State
cYlqGU5idc,Thu Jun 23 2016 13:11:24 GMT-0500 (Central Daylight Time),Thu Jun 23 2016 13:11:24 GMT-0500 (Central Daylight Time),null,Team Germany
dasZO9xYI9,Thu Aug 12 2021 16:55:22 GMT-0500 (Central Daylight Time),Thu Aug 12 2021 16:55:22 GMT-0500 (Central Daylight Time),null,Kansas City Stampede
