objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
wLmBkroHIh,2017,UduPUwNkXKU,null,,2256,Wed Feb 07 2018 20:15:32 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Feb 07 2018 20:15:32 GMT-0600 (Central Standard Time),0eHM4yAUtR
wZ8C2wWMOc,2017,UduPUwNkXKU,null,,1002,Wed Jan 31 2018 12:59:45 GMT-0600 (Central Standard Time),PnUcE7oTGf,GOAL,,Q9dSvngdsQ,Wed Jan 31 2018 12:59:45 GMT-0600 (Central Standard Time),ZONaVCJXMP
wfxr97veOA,2017,UduPUwNkXKU,null,,1300,Wed Jan 31 2018 13:04:58 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Jan 31 2018 13:04:58 GMT-0600 (Central Standard Time),0eHM4yAUtR
wi1ht9sWeg,2017,UduPUwNkXKU,null,1,173,Wed Jan 31 2018 12:34:55 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Jan 31 2018 12:34:55 GMT-0600 (Central Standard Time),ZONaVCJXMP
wnUaAOiXOa,2017,UduPUwNkXKU,null,2,2888,Wed Feb 07 2018 20:59:43 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Feb 07 2018 20:59:43 GMT-0600 (Central Standard Time),0eHM4yAUtR
wtabeskqPS,2017,UduPUwNkXKU,null,2,2822,Wed Feb 07 2018 20:57:40 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 20:57:40 GMT-0600 (Central Standard Time),0eHM4yAUtR
wwM6DE49oP,2017,UduPUwNkXKU,null,,810,Wed Jan 31 2018 12:55:06 GMT-0600 (Central Standard Time),PnUcE7oTGf,GAIN_CONTROL,,,Wed Jan 31 2018 12:55:06 GMT-0600 (Central Standard Time),ZONaVCJXMP
xAuV9E5ZBT,2017,UduPUwNkXKU,null,,1504,Wed Jan 31 2018 13:12:10 GMT-0600 (Central Standard Time),PnUcE7oTGf,GOAL,,,Wed Jan 31 2018 13:12:10 GMT-0600 (Central Standard Time),0eHM4yAUtR
xOQYWdgWAN,2017,UduPUwNkXKU,null,2,2985,Wed Feb 07 2018 21:03:44 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 21:03:44 GMT-0600 (Central Standard Time),0eHM4yAUtR
xRlAMCBijA,2017,UduPUwNkXKU,null,,1835,Wed Jan 31 2018 17:01:41 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Jan 31 2018 17:01:41 GMT-0600 (Central Standard Time),ZONaVCJXMP
