objectId,fall_year,vid_id,ACL,updatedAt,createdAt,description,team_id,opponent_id
XwyQb1eXZx,2015,rw4lMNQgat8,null,Tue Nov 24 2015 22:59:45 GMT-0600 (Central Standard Time),Tue Nov 24 2015 22:59:33 GMT-0600 (Central Standard Time),GLRC Bowling Green,72aC65hDVy,
XzxUhHZGT1,2015,egX6SDOytJU,null,Mon Nov 09 2015 22:07:39 GMT-0600 (Central Standard Time),Mon Nov 09 2015 22:07:39 GMT-0600 (Central Standard Time),GLRC Eastern Michigan,72aC65hDVy,
YADG13oWRl,2015,S7P9HF2ADvw,null,Sun Feb 21 2016 23:18:31 GMT-0600 (Central Standard Time),Sun Feb 21 2016 23:18:31 GMT-0600 (Central Standard Time),Founder's Richmond,72aC65hDVy,
ZCkhvPpsR2,2017,1J_q45echIo,null,Mon Oct 23 2017 18:45:07 GMT-0500 (Central Daylight Time),Mon Oct 23 2017 18:44:57 GMT-0500 (Central Daylight Time),Ball Brothers Ohio Glory,ZONaVCJXMP,RB5Ov9alvr
ZDJ625nOnE,2015,uHJQopMDOCM,null,Fri Jan 01 2016 13:14:29 GMT-0600 (Central Standard Time),Fri Jan 01 2016 13:14:29 GMT-0600 (Central Standard Time),Dodo A vs Liège,fOslL2YWS4,
ZWSG8NV2Qm,2017,IZawuB7CDbk,null,Thu Aug 06 2020 08:52:36 GMT-0500 (Central Daylight Time),Thu Aug 06 2020 08:52:36 GMT-0500 (Central Daylight Time),QPL Championships- Roses vs Broadside,KduR7D9hUY,1d2WW8vOCr
aC3In2VXpn,2017,2V2pN9kH3WU,null,Wed Sep 20 2017 16:43:10 GMT-0500 (Central Daylight Time),Wed Sep 20 2017 16:41:24 GMT-0500 (Central Daylight Time),SSR GVSU Semis,ZONaVCJXMP,4tA6jxuCvC
aKCORlyREj,2015,45XL9pyutLs,null,Sat Feb 27 2016 15:47:10 GMT-0600 (Central Standard Time),Sat Feb 27 2016 15:47:10 GMT-0600 (Central Standard Time),Founder's JMU,72aC65hDVy,
aLOMK3UhKX,2016,qgGh6zb6cz4,null,Thu Nov 17 2016 10:55:33 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:55:33 GMT-0600 (Central Standard Time),GLRC 2016 Toledo 2,72aC65hDVy,3p9G6BhuYM
agmPNnwcaH,2015,hnAy-ySdqYY,null,Mon Apr 04 2016 11:26:19 GMT-0500 (Central Daylight Time),Mon Apr 04 2016 11:26:19 GMT-0500 (Central Daylight Time),SWRC UTSA,MOyqzF628Q,
apNKJ2e7V1,2016,jmvhGaLtGGs,null,Sun Nov 13 2016 11:50:21 GMT-0600 (Central Standard Time),Sun Nov 13 2016 11:50:21 GMT-0600 (Central Standard Time),GLRC 2016 Lake Eerie Elite,72aC65hDVy,ZONaVCJXMP
apU6w1CpAT,2016,FQlPdJbhiZU,null,Mon Mar 13 2017 22:29:54 GMT-0500 (Central Daylight Time),Mon Mar 13 2017 22:29:54 GMT-0500 (Central Daylight Time),Tournament Rochester United,ZONaVCJXMP,03h0GIgF90
b9HYnS1bbR,2015,Z1gEnjGAAjQ,null,Sun Apr 10 2016 10:06:42 GMT-0500 (Central Daylight Time),Sun Apr 10 2016 10:06:42 GMT-0500 (Central Daylight Time),Nittany Invitational Rochester U.,sDwvaTBIyS,
bDRjBEuYbK,2017,BvLn4CcemZ0,null,Wed Dec 06 2017 10:33:25 GMT-0600 (Central Standard Time),Wed Dec 06 2017 10:33:25 GMT-0600 (Central Standard Time),GLRC 2017 BGSU,72aC65hDVy,J4jYCZM9jX
bqMeRF2MQp,2016,_0FufBVWBdI,null,Tue Nov 08 2016 12:54:06 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:54:06 GMT-0600 (Central Standard Time),Warmup Chicago United,72aC65hDVy,RYYs0N15Cd
c83ug27wKe,2015,tDjPMmsMJG4,null,Mon Jul 04 2016 00:14:29 GMT-0500 (Central Daylight Time),Mon Jul 04 2016 00:14:29 GMT-0500 (Central Daylight Time),Euro Games Norway,1Tq5ZLgKzB,i1Q9d8L51D
cCHEG0TMrZ,2016,HaSVT6l6O8k,null,Thu Feb 02 2017 10:49:52 GMT-0600 (Central Standard Time),Thu Feb 02 2017 10:49:52 GMT-0600 (Central Standard Time),Grindy Slam BGSU,ZONaVCJXMP,J4jYCZM9jX
cEkopto0Ja,2016,R2nADl8enWs,null,Thu Nov 17 2016 10:56:05 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:56:05 GMT-0600 (Central Standard Time),GLRC 2016 Toledo 3,72aC65hDVy,3p9G6BhuYM
